gene_ncbi,pubmed_id,mentioned,mentioned_citations,hit
2177,14743216,False,False,True
11140,14743216,False,True,True
8454,14743216,False,False,True
84231,14743216,False,True,True
9099,14743216,False,False,True
6156,14743216,False,False,True
55054,14743216,False,False,True
7186,14743216,False,True,True
7187,14743216,False,True,True
1431,14743216,False,False,True
10010,14743216,False,False,True
9755,14743216,False,True,True
10013,14743216,False,False,True
5537,14743216,False,True,True
10914,14743216,False,False,True
81572,14743216,False,False,True
10788,14743216,False,True,True
8237,14743216,False,True,True
2734,14743216,False,False,True
1326,14743216,False,True,True
79155,14743216,False,True,True
4790,14743216,True,True,True
4791,14743216,False,False,True
10238,14743216,False,True,True
29110,14743216,False,True,True
3895,14743216,False,False,True
79931,14743216,False,False,True
9276,14743216,False,False,True
5693,14743216,False,False,True
6207,14743216,False,False,True
9919,14743216,False,True,True
5700,14743216,False,False,True
5701,14743216,False,False,True
6597,14743216,False,False,True
6599,14743216,False,False,True
6598,14743216,False,True,True
6601,14743216,False,False,True
5702,14743216,False,False,True
23243,14743216,False,True,True
5707,14743216,False,False,True
6605,14743216,False,False,True
5966,14743216,False,False,True
5709,14743216,False,False,True
3784,14743216,False,False,True
5713,14743216,False,False,True
5202,14743216,False,False,True
5970,14743216,False,True,True
7124,14743216,True,True,True
9043,14743216,False,False,True
5971,14743216,False,True,True
86,14743216,False,False,True
10454,14743216,False,False,True
22870,14743216,False,False,True
5719,14743216,False,False,True
5718,14743216,False,False,True
2011,14743216,False,False,True
5977,14743216,False,False,True
605,14743216,False,False,True
6500,14743216,False,False,True
8517,14743216,False,True,True
9701,14743216,False,False,True
5607,14743216,False,False,True
7532,14743216,False,False,True
6124,14743216,False,False,True
3308,14743216,False,False,True
3838,14743216,False,True,True
6128,14743216,False,False,True
8945,14743216,False,False,True
2289,14743216,False,True,True
26993,14743216,False,False,True
1654,14743216,False,True,True
23633,14743216,False,False,True
55294,14743216,False,False,True
3839,14743216,False,False,True
10399,16105984,False,False,True
23299,16105984,False,False,True
4646,16105984,False,False,True
7431,16105984,False,False,True
2314,16105984,False,False,True
60,16105984,False,False,True
10383,16105984,False,False,True
81,16105984,False,False,True
4627,16105984,False,False,True
4628,16105984,False,False,True
23603,16105984,False,False,True
9564,16105984,True,True,True
10844,16105984,False,False,True
27295,16105984,False,False,True
2,17110338,False,False,True
11273,17110338,False,False,True
2059,17110338,False,False,True
8723,17110338,False,False,True
55832,17110338,False,False,True
8218,17110338,False,False,True
5660,17110338,False,False,True
85021,17110338,False,False,True
55327,17110338,False,False,True
7203,17110338,False,False,True
10280,17110338,False,False,True
8239,17110338,False,False,True
1072,17110338,False,False,True
10801,17110338,False,False,True
27183,17110338,False,False,True
10294,17110338,False,True,True
1080,17110338,True,True,True
10808,17110338,False,False,True
5689,17110338,False,False,True
