pubmed_id,type_of_study,year
22991305,transcriptomics,2012
23024189,transcriptomics,2012
23707782,transcriptomics,2013
23824327,transcriptomics,2013
23871666,transcriptomics,2013
23660593,transcriptomics,2013
24124593,transcriptomics,2013
25043050,transcriptomics,2014
25464849,transcriptomics,2014
27152521,transcriptomics,2016
24971714,transcriptomics,2014
24154603,transcriptomics,2013
24486609,transcriptomics,2014
24388747,transcriptomics,2014
25381879,transcriptomics,2015
25905630,transcriptomics,2015
27992404,transcriptomics,2017
25716682,transcriptomics,2015
25306110,transcriptomics,2014
24798046,transcriptomics,2014
25157961,transcriptomics,2014
25499759,transcriptomics,2015
24861551,transcriptomics,2014
25079319,transcriptomics,2014
24998913,transcriptomics,2014
24962896,transcriptomics,2014
24898756,transcriptomics,2014
25670080,transcriptomics,2015
28119415,transcriptomics,2017
25578878,transcriptomics,2015
26280535,transcriptomics,2015
25803486,transcriptomics,2015
25918379,transcriptomics,2015
25104390,transcriptomics,2014
25488971,transcriptomics,2015
25901726,transcriptomics,2015
25972361,transcriptomics,2015
27063795,transcriptomics,2016
26267534,transcriptomics,2015
26299970,transcriptomics,2015
26320100,transcriptomics,2015
26382853,transcriptomics,2015
27651416,transcriptomics,2016
29408805,transcriptomics,2018
29500295,transcriptomics,2018
29844126,transcriptomics,2018
18773076,transcriptomics,2008
18519664,transcriptomics,2008
18317594,transcriptomics,2008
18714337,transcriptomics,2008
19562724,transcriptomics,2009
22880099,transcriptomics,2012
19377082,transcriptomics,2009
19567590,transcriptomics,2009
21673316,transcriptomics,2011
19190340,transcriptomics,2009
19050264,transcriptomics,2008
19056937,transcriptomics,2008
19169254,transcriptomics,2009
19169254,gwas,2009
19276360,transcriptomics,2009
19190334,transcriptomics,2009
19074730,transcriptomics,2009
19505301,transcriptomics,2009
19525924,transcriptomics,2009
21558272,transcriptomics,2011
19951172,transcriptomics,2009
20603605,transcriptomics,2010
19956541,transcriptomics,2009
19218196,transcriptomics,2009
19710929,transcriptomics,2009
19652203,transcriptomics,2009
20145151,transcriptomics,2010
20162577,transcriptomics,2010
25249619,transcriptomics,2014
20955708,transcriptomics,2011
20818426,transcriptomics,2010
20802022,transcriptomics,2010
20404171,transcriptomics,2010
21132402,transcriptomics,2012
20479123,transcriptomics,2010
22912335,transcriptomics,2012
20516120,transcriptomics,2010
16319128,transcriptomics,2006
21159167,transcriptomics,2010
23446998,transcriptomics,2013
21814748,transcriptomics,2011
25181038,transcriptomics,2014
20530672,transcriptomics,2010
21209903,transcriptomics,2010
21317922,transcriptomics,2011
20103632,transcriptomics,2010
20929567,transcriptomics,2010
22049060,transcriptomics,2012
22177562,transcriptomics,2011
20595513,transcriptomics,2010
22049316,transcriptomics,2011
21335489,transcriptomics,2011
20498355,transcriptomics,2010
21365009,transcriptomics,2011
21131424,transcriptomics,2011
20956553,transcriptomics,2011
21804190,transcriptomics,2011
21886806,transcriptomics,2011
21282336,transcriptomics,2011
21741598,transcriptomics,2011
22572818,transcriptomics,2012
23233531,transcriptomics,2013
21810943,transcriptomics,2011
22276141,transcriptomics,2012
21399634,transcriptomics,2011
21713035,transcriptomics,2011
22267972,transcriptomics,2012
22901808,transcriptomics,2012
21796632,transcriptomics,2012
22685544,transcriptomics,2012
21873567,transcriptomics,2011
24014597,transcriptomics,2013
22542627,transcriptomics,2012
22677045,transcriptomics,2012
22621393,transcriptomics,2012
24942581,transcriptomics,2014
22914623,transcriptomics,2012
22241084,transcriptomics,2012
22801492,transcriptomics,2012
22160620,transcriptomics,2012
22748921,transcriptomics,2012
22945757,transcriptomics,2012
22783022,transcriptomics,2012
22624712,transcriptomics,2012
23435427,transcriptomics,2014
23477830,transcriptomics,2013
22610275,transcriptomics,2012
23371049,transcriptomics,2013
22897849,transcriptomics,2012
23871637,transcriptomics,2013
22869147,transcriptomics,2013
22984288,transcriptomics,2012
23077249,transcriptomics,2012
23406356,transcriptomics,2013
20179017,transcriptomics,2010
23426277,transcriptomics,2013
23610125,transcriptomics,2013
23267084,transcriptomics,2013
24252778,transcriptomics,2013
23576566,transcriptomics,2013
23954399,transcriptomics,2013
22833572,transcriptomics,2012
16682435,transcriptomics,2006
23775793,transcriptomics,2013
24479813,transcriptomics,2014
