gene_ncbi,citation_count,pub_count_previous,year
597,74.0,0,1970
2688,21.0,1,1970
3240,135.0,0,1970
60558,101.0,0,1970
2688,84.0,2,1971
2875,149.0,0,1971
3005,14.0,0,1971
4069,46.0,0,1971
4151,28.0,0,1971
5972,131.5,1,1971
7429,15.0,0,1971
57126,117.0,0,1971
170589,21.0,4,1971
336,176.0,0,1972
760,351.0,0,1972
1528,37.0,0,1972
2688,40.5,4,1972
2987,9.0,0,1972
5443,26.0,1,1972
567,267.0,0,1973
760,53.0,1,1973
1280,149.0,0,1973
1528,2.0,1,1973
3251,1.0,0,1973
3630,7.0,1,1973
3945,98.0,0,1973
5226,36.0,0,1973
5340,36.5,2,1973
5741,41.0,0,1973
5972,28.0,3,1973
27,45.0,0,1974
28,0.0,0,1974
338,179.0,0,1974
345,162.0,0,1974
351,18.0,0,1974
353,140.0,0,1974
914,18.0,0,1974
1081,75.0,0,1974
2147,218.0,0,1974
2187,110.0,0,1974
2488,69.0,0,1974
2987,15.0,1,1974
5741,87.0,1,1974
170589,26.0,5,1974
27,15.0,1,1975
210,36.0,0,1975
213,309.0,0,1975
335,94.0,0,1975
718,139.0,0,1975
727,194.0,0,1975
921,16.0,0,1975
923,37.0,0,1975
978,74.0,0,1975
1066,24.0,0,1975
2161,345.0,0,1975
2641,66.0,0,1975
2642,20.0,0,1975
2688,15.0,6,1975
2739,218.0,0,1975
2875,2.0,1,1975
3040,73.0,0,1975
3381,0.0,0,1975
3931,55.0,0,1975
3945,68.0,1,1975
4190,19.0,1,1975
4351,89.0,0,1975
4594,23.0,0,1975
5196,36.0,1,1975
5265,2.0,0,1975
5340,23.0,4,1975
5860,295.0,0,1975
5972,2.0,4,1975
51727,7.0,0,1975
55276,0.0,0,1975
170589,26.0,7,1975
200879,20.0,0,1975
100126791,27.0,0,1975
213,10.0,1,1976
347,146.0,0,1976
715,110.0,0,1976
760,109.0,2,1976
866,43.0,0,1976
1509,133.0,0,1976
1545,39.0,0,1976
1636,146.0,0,1976
2244,81.0,1,1976
2271,5.0,0,1976
2539,18.0,1,1976
2597,21.0,0,1976
2875,26.0,2,1976
3043,9.0,0,1976
3418,16.0,0,1976
3939,7.0,0,1976
5345,463.0,0,1976
5972,228.0,5,1976
8566,22.0,0,1976
10404,20.0,0,1976
174,16.0,0,1977
204,16.0,0,1977
210,65.0,1,1977
213,7.0,2,1977
335,60.0,1,1977
344,165.0,0,1977
348,646.0,0,1977
353,53.0,1,1977
875,15.0,0,1977
1356,93.0,0,1977
1401,390.0,0,1977
1841,37.0,0,1977
2520,0.0,0,1977
2936,76.5,0,1977
2990,7.0,0,1977
3040,43.5,1,1977
3043,48.0,1,1977
3106,46.0,0,1977
3502,128.0,0,1977
3512,38.0,0,1977
5196,328.0,2,1977
5340,175.0,5,1977
5443,24.0,2,1977
5617,95.0,0,1977
6690,96.0,0,1977
6779,224.0,0,1977
6906,10.0,0,1977
7084,42.0,0,1977
7112,48.0,0,1977
7167,24.0,0,1977
7453,37.0,0,1977
23545,12.0,0,1977
55276,43.0,2,1977
92086,66.0,0,1977
259266,18.0,0,1977
50,12.0,0,1978
53,48.0,0,1978
95,3.0,0,1978
100,19.0,0,1978
132,38.0,0,1978
191,152.0,0,1978
213,71.0,4,1978
279,5.0,0,1978
319,82.0,0,1978
335,315.0,2,1978
435,59.0,0,1978
712,28.0,0,1978
875,75.0,1,1978
1508,76.0,0,1978
2147,42.0,2,1978
2158,244.0,0,1978
2217,43.0,0,1978
2318,10.0,0,1978
2539,9.0,2,1978
2548,45.0,0,1978
2729,36.0,0,1978
3043,1026.0,4,1978
3047,62.0,0,1978
3251,73.0,1,1978
3263,7.0,0,1978
3481,709.0,0,1978
3643,77.0,0,1978
4860,26.0,0,1978
5473,218.0,1,1978
5547,126.0,0,1978
5741,96.0,3,1978
5860,15.0,1,1978
6948,58.0,0,1978
7038,99.0,0,1978
7172,291.0,0,1978
7389,192.0,0,1978
7448,59.0,0,1978
10993,1.0,0,1978
51056,22.0,0,1978
55276,9.0,3,1978
64853,4.0,0,1978
170589,26.5,9,1978
43,34.0,0,1979
55,12.0,0,1979
95,26.0,1,1979
173,29.0,0,1979
174,29.0,2,1979
286,140.0,0,1979
336,18.0,2,1979
344,179.0,2,1979
348,224.0,1,1979
410,46.0,0,1979
712,118.0,1,1979
761,97.0,0,1979
973,87.0,0,1979
1401,174.0,1,1979
1636,14.0,1,1979
2147,127.0,3,1979
2161,78.0,1,1979
2271,31.0,1,1979
2520,0.0,1,1979
2638,58.0,0,1979
2688,202.0,10,1979
2717,49.5,0,1979
3046,37.0,0,1979
3047,60.0,3,1979
3048,18.0,0,1979
3098,14.0,1,1979
3493,11.0,0,1979
3630,141.0,4,1979
3827,225.0,0,1979
5265,19.0,2,1979
7216,10.5,0,1979
9793,8.0,0,1979
10993,1.0,1,1979
170589,53.0,11,1979
95,21.0,2,1980
100,18.0,2,1980
174,22.0,3,1980
210,27.0,2,1980
350,139.0,0,1980
597,32.0,1,1980
760,20.0,3,1980
847,101.0,0,1980
914,18.0,1,1980
1056,134.0,0,1980
1356,11.0,1,1980
1373,10.0,0,1980
1443,53.0,0,1980
1950,975.0,0,1980
2098,335.0,1,1980
2244,206.5,2,1980
2335,422.0,1,1980
2356,68.0,0,1980
2595,14.5,0,1980
2688,151.5,12,1980
2875,4.0,3,1980
2987,11.0,2,1980
3005,173.0,1,1980
3039,39.0,0,1980
3040,241.0,4,1980
3046,128.5,1,1980
3145,16.0,0,1980
3240,21.0,1,1980
3456,165.0,0,1980
3479,270.0,0,1980
3630,127.0,5,1980
4594,36.0,1,1980
5340,24.0,8,1980
5443,186.0,3,1980
5723,14.0,0,1980
6906,8.0,1,1980
10204,11.0,0,1980
51520,30.0,0,1980
170589,17.5,14,1980
2,81.0,2,1981
18,17.0,0,1981
28,4.0,2,1981
47,1.0,0,1981
53,33.0,1,1981
100,1.0,3,1981
174,141.0,4,1981
183,105.0,2,1981
213,80.0,5,1981
218,21.0,0,1981
348,589.0,2,1981
435,60.0,1,1981
535,58.0,0,1981
720,57.0,0,1981
759,6.0,0,1981
1356,19.0,2,1981
1581,12.0,0,1981
1636,81.0,2,1981
1791,51.0,0,1981
1890,99.0,0,1981
2006,61.0,0,1981
2035,219.0,0,1981
2161,16.0,2,1981
2244,67.0,5,1981
2266,104.0,0,1981
2584,6.0,0,1981
2629,42.0,0,1981
2688,107.0,14,1981
2717,86.0,2,1981
2936,226.0,2,1981
3029,14.0,1,1981
3040,56.0,11,1981
3043,120.0,5,1981
3046,29.0,3,1981
3106,429.0,2,1981
3145,56.0,1,1981
3439,42.0,0,1981
3456,94.0,2,1981
3630,185.5,10,1981
3643,17.0,1,1981
3988,50.0,0,1981
4057,30.0,0,1981
4069,264.0,2,1981
4698,18.0,0,1981
4758,9.0,0,1981
5069,25.0,0,1981
5211,93.0,0,1981
5224,102.0,0,1981
5238,24.0,1,1981
5265,59.0,4,1981
5345,91.0,2,1981
5443,69.0,4,1981
5539,69.0,0,1981
5617,119.0,1,1981
5627,403.0,0,1981
5741,166.0,4,1981
5860,20.0,2,1981
6476,5.0,0,1981
6520,535.0,0,1981
6713,155.0,0,1981
7037,179.0,0,1981
7070,32.0,0,1981
7369,151.0,0,1981
28912,19.0,0,1981
28923,15.0,0,1981
93659,24.0,0,1981
170589,8.0,16,1981
12,15.0,0,1982
49,22.0,0,1982
95,60.0,5,1982
174,16.0,5,1982
197,21.0,0,1982
213,167.0,6,1982
250,6.0,0,1982
251,108.0,0,1982
319,43.0,1,1982
335,129.0,3,1982
338,100.0,1,1982
348,240.0,3,1982
412,129.0,0,1982
462,101.0,1,1982
563,14.0,1,1982
727,7.0,2,1982
760,11.0,4,1982
801,78.0,0,1982
866,8.0,1,1982
1238,9.0,0,1982
1378,338.0,0,1982
1401,174.0,2,1982
1471,316.0,0,1982
1636,3.0,3,1982
1719,84.0,0,1982
1950,60.5,1,1982
2217,24.0,2,1982
2539,22.5,4,1982
2597,39.0,3,1982
2688,171.0,19,1982
2691,1240.0,0,1982
2796,70.0,0,1982
2934,81.0,0,1982
2936,131.5,3,1982
2995,66.0,0,1982
3032,37.0,0,1982
3046,37.0,4,1982
3050,153.0,0,1982
3098,26.0,2,1982
3122,130.0,0,1982
3251,55.0,3,1982
3456,61.5,3,1982
3458,459.0,0,1982
3497,100.0,0,1982
3630,485.0,12,1982
3949,232.0,0,1982
4057,7.0,1,1982
4342,211.0,0,1982
4594,60.0,2,1982
4608,33.0,0,1982
4758,80.0,1,1982
4942,25.0,0,1982
5009,65.0,0,1982
5047,9.0,0,1982
5155,227.0,0,1982
5179,135.0,0,1982
5225,62.0,0,1982
5265,17.0,5,1982
5345,44.0,3,1982
5422,144.0,0,1982
5443,146.5,7,1982
5473,36.0,2,1982
5973,2.0,0,1982
6520,157.0,1,1982
6690,140.0,1,1982
6897,7.0,0,1982
7018,162.0,0,1982
7070,38.0,2,1982
7453,65.0,1,1982
8424,24.0,0,1982
10072,10.0,1,1982
10724,114.0,0,1982
28869,10.0,0,1982
28906,11.0,0,1982
51727,8.0,1,1982
84735,92.0,0,1982
12,41.5,1,1983
25,59.0,0,1983
34,102.0,0,1983
49,27.0,1,1983
59,167.0,0,1983
100,52.5,5,1983
174,31.0,6,1983
191,21.0,2,1983
197,68.0,2,1983
210,11.0,3,1983
213,61.0,8,1983
231,117.0,0,1983
259,76.0,0,1983
335,127.0,4,1983
348,47.0,7,1983
350,86.0,1,1983
351,849.5,1,1983
462,167.0,3,1983
567,128.0,1,1983
710,110.0,1,1983
715,46.0,3,1983
716,21.0,2,1983
717,21.0,0,1983
718,94.0,1,1983
720,83.0,1,1983
731,45.0,0,1983
760,30.5,5,1983
761,38.5,1,1983
796,54.0,0,1983
923,12.0,1,1983
973,34.0,1,1983
1089,28.0,0,1983
1278,268.0,0,1983
1378,142.0,1,1983
1392,417.0,0,1983
1401,62.0,3,1983
1443,78.0,3,1983
1508,48.0,1,1983
1719,62.5,1,1983
1956,106.0,0,1983
1990,28.0,0,1983
2098,337.0,2,1983
2147,121.0,8,1983
2153,3.0,1,1983
2157,1.0,0,1983
2217,7.0,4,1983
2244,22.0,6,1983
2335,48.0,2,1983
2353,482.0,0,1983
2495,35.0,0,1983
2520,114.0,2,1983
2629,84.0,1,1983
2688,113.5,23,1983
2691,141.0,1,1983
2717,6.0,3,1983
2720,39.0,0,1983
2739,1.0,1,1983
2744,5.0,0,1983
2990,1.0,1,1983
3040,104.0,14,1983
3043,86.0,9,1983
3046,94.0,5,1983
3047,122.0,5,1983
3050,161.0,2,1983
3098,32.0,3,1983
3107,92.0,0,1983
3122,17.0,2,1983
3240,84.0,3,1983
3251,35.0,4,1983
3456,17.0,5,1983
3458,5.0,1,1983
3479,408.0,1,1983
3512,41.0,1,1983
3558,192.0,0,1983
3630,65.0,13,1983
3827,60.5,1,1983
3845,366.5,0,1983
3949,249.0,1,1983
4018,119.0,0,1983
4069,141.0,3,1983
4241,81.0,0,1983
4609,260.0,0,1983
4758,117.0,2,1983
4803,434.0,0,1983
4893,536.0,0,1983
5053,29.0,0,1983
5173,186.0,1,1983
5319,84.0,0,1983
5327,1138.0,0,1983
5473,191.0,3,1983
5624,273.0,0,1983
5741,89.5,5,1983
5972,185.0,7,1983
6050,1.0,0,1983
6476,0.0,1,1983
6520,56.0,2,1983
6652,33.0,1,1983
6948,14.0,1,1983
7018,235.0,1,1983
7057,50.0,0,1983
7070,30.0,4,1983
7114,77.0,0,1983
7157,13.0,0,1983
7276,101.0,0,1983
7345,322.0,0,1983
7432,621.0,0,1983
7448,460.0,1,1983
7980,5.0,0,1983
9317,20.0,1,1983
9527,1498.0,0,1983
10376,289.0,0,1983
10728,33.0,0,1983
11102,17.0,0,1983
23193,13.0,0,1983
28884,11.0,0,1983
51056,8.0,2,1983
51727,15.0,2,1983
56654,698.5,0,1983
84735,33.0,1,1983
170589,9.0,17,1983
18,1.0,1,1984
25,52.0,2,1984
39,23.0,0,1984
100,75.0,7,1984
174,91.0,7,1984
213,50.0,9,1984
259,42.0,1,1984
279,23.0,1,1984
290,22.0,0,1984
335,93.0,12,1984
336,45.0,3,1984
338,27.0,2,1984
341,54.0,0,1984
344,73.0,3,1984
348,134.0,8,1984
412,5.0,1,1984
462,159.0,8,1984
613,1500.0,0,1984
629,138.0,0,1984
712,16.0,2,1984
717,72.0,2,1984
796,103.0,1,1984
847,94.0,1,1984
