gene_ncbi,set,type
1,genome,gwas
2,genome,gwas
100129239,genome,gwas
131076,genome,gwas
9,genome,gwas
10,genome,gwas
12,genome,gwas
13,genome,gwas
14,genome,gwas
15,genome,gwas
16,genome,gwas
729447,genome,gwas
18,genome,gwas
19,genome,gwas
20,genome,gwas
21,genome,gwas
22,genome,gwas
23,genome,gwas
24,genome,gwas
25,genome,gwas
26,genome,gwas
27,genome,gwas
28,genome,gwas
29,genome,gwas
30,genome,gwas
31,genome,gwas
32,genome,gwas
33,genome,gwas
34,genome,gwas
35,genome,gwas
36,genome,gwas
37,genome,gwas
38,genome,gwas
39,genome,gwas
40,genome,gwas
41,genome,gwas
163882,genome,gwas
43,genome,gwas
131118,genome,gwas
47,genome,gwas
48,genome,gwas
49,genome,gwas
50,genome,gwas
51,genome,gwas
52,genome,gwas
53,genome,gwas
54,genome,gwas
55,genome,gwas
56,genome,gwas
254013,genome,gwas
58,genome,gwas
59,genome,gwas
60,genome,gwas
100129250,genome,gwas
70,genome,gwas
71,genome,gwas
72,genome,gwas
131149,genome,gwas
81,genome,gwas
100507003,genome,gwas
86,genome,gwas
87,genome,gwas
88,genome,gwas
89,genome,gwas
90,genome,gwas
91,genome,gwas
92,genome,gwas
93,genome,gwas
94,genome,gwas
95,genome,gwas
163933,genome,gwas
97,genome,gwas
98,genome,gwas
100,genome,gwas
101,genome,gwas
102,genome,gwas
103,genome,gwas
104,genome,gwas
105,genome,gwas
131177,genome,gwas
107,genome,gwas
108,genome,gwas
109,genome,gwas
338692,genome,gwas
111,genome,gwas
112,genome,gwas
113,genome,gwas
114,genome,gwas
115,genome,gwas
116,genome,gwas
117,genome,gwas
118,genome,gwas
119,genome,gwas
120,genome,gwas
123,genome,gwas
124,genome,gwas
125,genome,gwas
126,genome,gwas
127,genome,gwas
128,genome,gwas
130,genome,gwas
131,genome,gwas
132,genome,gwas
133,genome,gwas
134,genome,gwas
135,genome,gwas
136,genome,gwas
196740,genome,gwas
196743,genome,gwas
140,genome,gwas
141,genome,gwas
142,genome,gwas
143,genome,gwas
146,genome,gwas
147,genome,gwas
148,genome,gwas
150,genome,gwas
151,genome,gwas
152,genome,gwas
153,genome,gwas
154,genome,gwas
155,genome,gwas
156,genome,gwas
157,genome,gwas
158,genome,gwas
159,genome,gwas
160,genome,gwas
161,genome,gwas
162,genome,gwas
163,genome,gwas
164,genome,gwas
165,genome,gwas
166,genome,gwas
167,genome,gwas
100129271,genome,gwas
173,genome,gwas
174,genome,gwas
175,genome,gwas
176,genome,gwas
177,genome,gwas
178,genome,gwas
220134,genome,gwas
181,genome,gwas
182,genome,gwas
183,genome,gwas
196792,genome,gwas
185,genome,gwas
186,genome,gwas
187,genome,gwas
189,genome,gwas
190,genome,gwas
191,genome,gwas
644815,genome,gwas
196,genome,gwas
197,genome,gwas
100129278,genome,gwas
199,genome,gwas
202,genome,gwas
203,genome,gwas
204,genome,gwas
205,genome,gwas
164045,genome,gwas
207,genome,gwas
208,genome,gwas
100507027,genome,gwas
210,genome,gwas
211,genome,gwas
212,genome,gwas
213,genome,gwas
214,genome,gwas
215,genome,gwas
216,genome,gwas
217,genome,gwas
218,genome,gwas
219,genome,gwas
220,genome,gwas
221,genome,gwas
222,genome,gwas
223,genome,gwas
224,genome,gwas
225,genome,gwas
226,genome,gwas
149840,genome,gwas
229,genome,gwas
230,genome,gwas
231,genome,gwas
238,genome,gwas
239,genome,gwas
240,genome,gwas
241,genome,gwas
242,genome,gwas
246,genome,gwas
247,genome,gwas
248,genome,gwas
249,genome,gwas
250,genome,gwas
251,genome,gwas
164091,genome,gwas
257,genome,gwas
258,genome,gwas
259,genome,gwas
117283,genome,gwas
262,genome,gwas
265,genome,gwas
266,genome,gwas
267,genome,gwas
268,genome,gwas
269,genome,gwas
270,genome,gwas
271,genome,gwas
272,genome,gwas
273,genome,gwas
274,genome,gwas
275,genome,gwas
276,genome,gwas
277,genome,gwas
278,genome,gwas
279,genome,gwas
280,genome,gwas
117286,genome,gwas
164118,genome,gwas
283,genome,gwas
284,genome,gwas
285,genome,gwas
286,genome,gwas
287,genome,gwas
288,genome,gwas
117289,genome,gwas
290,genome,gwas
291,genome,gwas
292,genome,gwas
293,genome,gwas
164127,genome,gwas
221496,genome,gwas
131368,genome,gwas
301,genome,gwas
302,genome,gwas
131375,genome,gwas
131377,genome,gwas
306,genome,gwas
307,genome,gwas
308,genome,gwas
309,genome,gwas
310,genome,gwas
311,genome,gwas
312,genome,gwas
313,genome,gwas
314,genome,gwas
164153,genome,gwas
316,genome,gwas
317,genome,gwas
318,genome,gwas
319,genome,gwas
320,genome,gwas
321,genome,gwas
322,genome,gwas
323,genome,gwas
324,genome,gwas
325,genome,gwas
326,genome,gwas
327,genome,gwas
328,genome,gwas
329,genome,gwas
330,genome,gwas
331,genome,gwas
332,genome,gwas
333,genome,gwas
334,genome,gwas
335,genome,gwas
336,genome,gwas
337,genome,gwas
338,genome,gwas
339,genome,gwas
131405,genome,gwas
341,genome,gwas
131408,genome,gwas
343,genome,gwas
344,genome,gwas
345,genome,gwas
346,genome,gwas
347,genome,gwas
348,genome,gwas
196951,genome,gwas
350,genome,gwas
351,genome,gwas
353,genome,gwas
354,genome,gwas
355,genome,gwas
356,genome,gwas
357,genome,gwas
358,genome,gwas
359,genome,gwas
360,genome,gwas
361,genome,gwas
362,genome,gwas
363,genome,gwas
364,genome,gwas
91252,genome,gwas
366,genome,gwas
367,genome,gwas
368,genome,gwas
369,genome,gwas
285268,genome,gwas
372,genome,gwas
373,genome,gwas
374,genome,gwas
375,genome,gwas
100996758,genome,gwas
377,genome,gwas
378,genome,gwas
379,genome,gwas
131450,genome,gwas
381,genome,gwas
382,genome,gwas
383,genome,gwas
384,genome,gwas
387,genome,gwas
388,genome,gwas
389,genome,gwas
390,genome,gwas
391,genome,gwas
392,genome,gwas
393,genome,gwas
394,genome,gwas
395,genome,gwas
396,genome,gwas
397,genome,gwas
398,genome,gwas
399,genome,gwas
400,genome,gwas
401,genome,gwas
402,genome,gwas
403,genome,gwas
131474,genome,gwas
405,genome,gwas
406,genome,gwas
407,genome,gwas
408,genome,gwas
409,genome,gwas
410,genome,gwas
411,genome,gwas
412,genome,gwas
65944,genome,gwas
414,genome,gwas
415,genome,gwas
416,genome,gwas
417,genome,gwas
197021,genome,gwas
419,genome,gwas
420,genome,gwas
421,genome,gwas
338755,genome,gwas
427,genome,gwas
429,genome,gwas
430,genome,gwas
432,genome,gwas
433,genome,gwas
434,genome,gwas
435,genome,gwas
438,genome,gwas
439,genome,gwas
440,genome,gwas
65975,genome,gwas
65977,genome,gwas
443,genome,gwas
444,genome,gwas
445,genome,gwas
65979,genome,gwas
65980,genome,gwas
65981,genome,gwas
65982,genome,gwas
65983,genome,gwas
65985,genome,gwas
65986,genome,gwas
65987,genome,gwas
65988,genome,gwas
65989,genome,gwas
65990,genome,gwas
65991,genome,gwas
65992,genome,gwas
