gene_ncbi,pubmed_id,mentioned,mentioned_citations,hit
8192,27869803,False,False,True
204801,27869803,False,False,True
221184,27869803,False,False,True
147463,27869803,False,False,True
90121,27869803,False,False,True
81930,27869803,False,False,True
81929,27869803,False,False,True
14,27869803,False,False,True
15,27869803,False,False,True
16,27869803,False,False,True
8208,27869803,False,False,True
22,27869803,False,False,True
23,27869803,False,False,True
8220,27869803,False,False,True
31,27869803,False,False,True
37,27869803,False,False,True
39,27869803,False,False,True
8233,27869803,False,False,True
43,27869803,False,False,True
47,27869803,False,False,True
8239,27869803,False,False,True
8241,27869803,False,False,True
50,27869803,False,False,True
8243,27869803,False,False,True
52,27869803,False,False,True
8242,27869803,False,False,True
204851,27869803,False,False,True
56,27869803,False,False,True
58,27869803,False,False,True
60,27869803,False,False,True
57405,27869803,False,False,True
57410,27869803,False,False,True
401474,27869803,False,False,True
8260,27869803,False,False,True
122953,27869803,False,False,True
57418,27869803,False,False,True
8270,27869803,False,False,True
122961,27869803,False,False,True
90196,27869803,False,False,True
86,27869803,False,False,True
254050,27869803,False,False,True
8291,27869803,False,False,True
8295,27869803,False,False,True
57448,27869803,False,False,True
114791,27869803,False,False,True
8301,27869803,False,False,True
57455,27869803,False,False,True
57459,27869803,False,False,True
57461,27869803,False,False,True
647286,27869803,False,False,True
57465,27869803,False,False,True
8314,27869803,False,False,True
123,27869803,False,False,True
8315,27869803,False,False,True
8318,27869803,False,False,True
57472,27869803,False,False,True
401541,27869803,False,False,True
114822,27869803,False,False,True
57479,27869803,False,False,True
114823,27869803,False,False,True
141,27869803,False,False,True
142,27869803,False,False,True
152,27869803,False,False,True
156,27869803,False,False,True
123036,27869803,False,False,True
158,27869803,False,False,True
160,27869803,False,False,True
57505,27869803,False,False,True
163,27869803,False,False,True
57508,27869803,False,False,True
57510,27869803,False,False,True
8359,27869803,False,False,True
57511,27869803,False,False,True
57521,27869803,False,False,True
57532,27869803,False,False,True
191,27869803,False,False,True
114881,27869803,False,False,True
196,27869803,False,False,True
90313,27869803,False,False,True
8394,27869803,False,False,True
207,27869803,False,False,True
210,27869803,False,False,True
211,27869803,False,False,True
8405,27869803,False,False,True
147670,27869803,False,False,True
