term,rho,pval,n_papers,ui,disease_term
D000001:Calcimycin,-0.22569722254432112,0.4006384092932441,16,D000001,False
D000005:Abdomen,-0.5,0.6666666666666667,3,D000005,False
D000007:Abdominal Injuries,,,2,D000007,True
D000008:Abdominal Neoplasms,-0.08475793795260131,0.8283628971177416,9,D000008,True
D000009:Abdominal Muscles,0.19999999999999998,0.8,4,D000009,False
D000013:Congenital Abnormalities,-0.2831800574663216,0.07662069290647158,40,D000013,True
"D000014:Abnormalities, Drug-Induced",0.5642880936468347,0.32172333582430024,5,D000014,True
"D000015:Abnormalities, Multiple",-0.14121473243585517,0.03345860151033886,227,D000015,True
D000017:ABO Blood-Group System,0.4424242424242424,0.20042268671194224,10,D000017,False
"D000020:Abortifacient Agents, Nonsteroidal",,,2,D000020,False
"D000021:Abortifacient Agents, Steroidal",,,1,D000021,False
"D000022:Abortion, Spontaneous",-0.16036712759766084,0.17531611138695602,73,D000022,True
"D000025:Abortion, Eugenic",-0.5628843430992316,0.1463315326055506,8,D000025,False
"D000026:Abortion, Habitual",0.06748608216823893,0.5369796948551244,86,D000026,True
"D000027:Abortion, Incomplete",,,1,D000027,True
"D000028:Abortion, Induced",-0.24654590952915015,0.41678289735107477,13,D000028,False
"D000029:Abortion, Legal",0.316227766016838,0.683772233983162,4,D000029,False
"D000030:Abortion, Missed",-0.28135740664340325,0.43098191942183417,10,D000030,True
"D000032:Abortion, Therapeutic",,,1,D000032,False
"D000033:Abortion, Threatened",-0.15389675281277312,0.8048288166080632,5,D000033,True
D000036:Abrin,,,1,D000036,False
D000037:Abruptio Placentae,,,1,D000037,True
D000038:Abscess,-0.5,0.6666666666666667,3,D000038,True
D000040:Abscisic Acid,,,1,D000040,False
D000042:Absorption,,,1,D000042,False
D000043:Abstracting and Indexing,,,1,D000043,False
D000046:Academic Medical Centers,0.19158529259725088,0.4939666321378501,15,D000046,False
D000052:Acanthosis Nigricans,0.9999999999999999,,2,D000052,True
D000058:Accidental Falls,-0.9999999999999999,,2,D000058,False
D000059:Accidents,,,1,D000059,False
"D000063:Accidents, Traffic",0.9999999999999999,,2,D000063,False
D000064:Acclimatization,0.08571428571428573,0.8717434402332361,6,D000064,False
D000066388:Oil and Gas Industry,0.9999999999999999,,2,D000066388,False
D000066448:Driving Under the Influence,,,1,D000066448,False
D000066449:Human Embryonic Stem Cells,0.022035655925804074,0.7814298231809675,161,D000066449,False
D000066450:Mouse Embryonic Stem Cells,0.14081265086242412,0.16890509541142615,97,D000066450,False
D000066477:Work Performance,,,3,D000066477,False
D000066479:Criminal Behavior,-0.9999999999999999,,2,D000066479,False
D000066491:Clinical Decision-Making,0.33061667671234235,0.14323815254337666,21,D000066491,False
D000066492:Cognitive Aging,-0.3637966953971855,0.24504132486397365,12,D000066492,False
D000066498:Emotional Adjustment,,,1,D000066498,False
D000066499:Facial Recognition,-0.07017587058225039,0.8284305273711023,12,D000066499,False
D000066502:Grandparents,,,1,D000066502,False
D000066530:Neurological Rehabilitation,,,1,D000066530,False
D000066550:Physical Abuse,,,1,D000066550,False
D000066553:Problem Behavior,-0.009090909090909092,0.9788365001441937,11,D000066553,False
D000066608:Underage Drinking,-0.18073600976695497,0.6684274536427572,8,D000066608,False
D000066630:Ectopic Gene Expression,0.05855631575715402,0.6301544278468643,70,D000066630,False
D000066670:Cell Plasticity,0.41590085728843496,0.0029579509595943753,49,D000066670,False
D000066673:Cell Self Renewal,-0.005234111714900176,0.9326753725076624,263,D000066673,False
D000066829:Neuroprotection,-0.2211519247308278,0.06992943338638172,68,D000066829,False
D000066970:Protein Corona,,,1,D000066970,False
D000067030:Fruit and Vegetable Juices,,,1,D000067030,False
D000067073:Psychological Trauma,-0.2571428571428572,0.6227871720116618,6,D000067073,False
D000067074:Peer Influence,,,1,D000067074,False
D000067128:Extracellular Vesicles,-0.04390729301739631,0.6580767874648652,104,D000067128,False
D000067170:Telocytes,0.5000000000000001,0.6666666666666667,3,D000067170,False
D000067251:Symptom Flare Up,0.8660254037844387,0.3333333333333332,3,D000067251,True
D000067268:Isolated Heart Preparation,0.9486832980505139,0.051316701949486114,4,D000067268,False
D000067290:Behavior Rating Scale,-0.9999999999999999,,2,D000067290,False
D000067292:Alcohol Drinking in College,-1.0,0.0,3,D000067292,False
"D000067329:Obesity, Metabolically Benign",1.0,0.0,4,D000067329,True
D000067348:Whole Grains,,,1,D000067348,False
D000067401:Blood Alcohol Content,,,1,D000067401,False
D000067404:Social Communication Disorder,,,1,D000067404,False
D000067453:War Exposure,,,1,D000067453,False
D000067470:Cellular Reprogramming Techniques,0.25587369781706804,0.25040771643679516,22,D000067470,False
D000067489:Metacognition,-0.9999999999999999,,2,D000067489,False
D000067490:Prescription Drug Overuse,,,1,D000067490,False
D000067492:RNAi Therapeutics,0.033401266368999066,0.6701776767618011,165,D000067492,False
D000067493:Dynamic Light Scattering,0.05796480966793355,0.7879026408743706,24,D000067493,False
D000067528:Ataxins,-0.2571428571428572,0.6227871720116618,6,D000067528,False
