term,citation_percentile_all,citation_percentile_intro,n_pubs_all,n_pubs_intro,ui,disease_term
D000001:Calcimycin,0.39910740962055574,0.3958815745947734,14,11.0,D000001,False
D000005:Abdomen,0.4982831940971246,0.6265696961664623,6,5.0,D000005,False
D000007:Abdominal Injuries,0.48734303038335375,0.48734303038335375,1,1.0,D000007,True
D000008:Abdominal Neoplasms,0.43855740388957865,0.3771743812332262,10,7.0,D000008,True
D000009:Abdominal Muscles,0.46056579815346255,0.46056579815346255,5,5.0,D000009,False
D000012:Abetalipoproteinemia,0.7269009560800717,,5,,D000012,True
D000013:Congenital Abnormalities,0.3853012430994082,0.39600703783809743,41,35.0,D000013,True
"D000014:Abnormalities, Drug-Induced",0.21808422517477882,0.21808422517477882,4,4.0,D000014,True
"D000015:Abnormalities, Multiple",0.5323881011954407,0.6645220223201874,422,206.0,D000015,True
D000017:ABO Blood-Group System,0.24841189063980626,0.2110518372933703,47,10.0,D000017,False
"D000020:Abortifacient Agents, Nonsteroidal",0.21808422517477882,0.21808422517477882,1,1.0,D000020,False
"D000021:Abortifacient Agents, Steroidal",0.2822031094938803,0.2822031094938803,1,1.0,D000021,False
"D000022:Abortion, Spontaneous",0.24841189063980626,0.24841189063980626,90,54.0,D000022,True
"D000025:Abortion, Eugenic",0.23315347523086216,0.23315347523086216,8,8.0,D000025,False
"D000026:Abortion, Habitual",0.2853442227858458,0.31901923806754356,187,78.0,D000026,True
"D000027:Abortion, Incomplete",0.36999669202778696,0.36999669202778696,1,1.0,D000027,True
"D000028:Abortion, Induced",0.39910740962055574,0.39910740962055574,9,9.0,D000028,False
"D000029:Abortion, Legal",0.6585844700892246,0.6585844700892246,3,3.0,D000029,False
"D000030:Abortion, Missed",0.10933810060785834,0.1582573946818046,8,8.0,D000030,True
"D000032:Abortion, Therapeutic",0.029556731723453522,0.029556731723453522,1,1.0,D000032,False
"D000033:Abortion, Threatened",0.11798813823266294,0.11798813823266294,4,4.0,D000033,True
D000036:Abrin,0.10143896791266953,0.10143896791266953,1,1.0,D000036,False
D000037:Abruptio Placentae,0.12382047844911617,0.21808422517477882,2,1.0,D000037,True
D000038:Abscess,0.15330235513721752,0.15330235513721752,3,3.0,D000038,True
D000040:Abscisic Acid,0.13794616221528094,0.13794616221528094,1,1.0,D000040,False
D000042:Absorption,0.7418293086338075,0.7099239166391003,2,1.0,D000042,False
D000043:Abstracting and Indexing,0.9184420662005898,0.9184420662005898,1,1.0,D000043,False
D000046:Academic Medical Centers,0.2822031094938803,0.2822031094938803,13,13.0,D000046,False
D000051:Acantholysis,0.11798813823266294,,1,,D000051,True
D000052:Acanthosis Nigricans,0.21042010318323798,0.4653076367719035,3,2.0,D000052,True
D000058:Accidental Falls,0.48734303038335375,0.3433596687620384,3,2.0,D000058,False
D000059:Accidents,0.31223949718822364,0.31223949718822364,1,1.0,D000059,False
"D000063:Accidents, Traffic",0.39696783315182105,0.3690312924551542,4,2.0,D000063,False
D000064:Acclimatization,0.6973592657632285,0.7073904111858453,10,6.0,D000064,False
D000066388:Oil and Gas Industry,0.13794616221528094,0.19308444375111322,3,2.0,D000066388,False
D000066448:Driving Under the Influence,0.34161404344890584,0.34161404344890584,1,1.0,D000066448,False
D000066449:Human Embryonic Stem Cells,0.5507917538093815,0.5507917538093815,135,128.0,D000066449,False
D000066450:Mouse Embryonic Stem Cells,0.7371619206481592,0.7290466887486049,70,69.0,D000066450,False
D000066477:Work Performance,0.7661151777711384,0.7661151777711384,1,1.0,D000066477,False
D000066479:Criminal Behavior,0.20006722438004182,0.20006722438004182,2,2.0,D000066479,False
D000066491:Clinical Decision-Making,0.6596579025993426,0.6599275720135309,19,19.0,D000066491,False
D000066492:Cognitive Aging,0.5985584105168807,0.6204282594120921,12,11.0,D000066492,False
D000066498:Emotional Adjustment,0.3771743812332262,0.3771743812332262,1,1.0,D000066498,False
D000066499:Facial Recognition,0.3485348847083437,0.2774160165542523,14,10.0,D000066499,False
D000066502:Grandparents,0.17369178394693432,0.17369178394693432,1,1.0,D000066502,False
D000066530:Neurological Rehabilitation,0.363273080370481,0.363273080370481,1,1.0,D000066530,False
D000066550:Physical Abuse,0.4999404265459311,0.4999404265459311,1,1.0,D000066550,False
D000066553:Problem Behavior,0.46551015835076187,0.46551015835076187,13,11.0,D000066553,False
D000066608:Underage Drinking,0.3742871617349446,0.3742871617349446,7,7.0,D000066608,False
D000066630:Ectopic Gene Expression,0.6125640533416715,0.6265696961664623,52,50.0,D000066630,False
D000066670:Cell Plasticity,0.791850351483379,0.7796179355812384,37,36.0,D000066670,False
D000066673:Cell Self Renewal,0.7536860939001359,0.7409433821332536,200,183.0,D000066673,False
D000066829:Neuroprotection,0.6219707019805818,0.6206304152972811,54,48.0,D000066829,False
D000066970:Protein Corona,0.836363317306005,0.836363317306005,1,1.0,D000066970,False
D000067030:Fruit and Vegetable Juices,0.9763261654683411,0.9763261654683411,1,1.0,D000067030,False
D000067073:Psychological Trauma,0.5323881011954407,0.24781754711259912,9,6.0,D000067073,False
D000067074:Peer Influence,0.24187705407827906,0.24187705407827906,1,1.0,D000067074,False
D000067128:Extracellular Vesicles,0.8190086478247904,0.8132520830997272,90,85.0,D000067128,False
D000067170:Telocytes,0.5323881011954407,0.5323881011954407,3,3.0,D000067170,False
D000067251:Symptom Flare Up,0.1582573946818046,0.1582573946818046,2,2.0,D000067251,True
D000067268:Isolated Heart Preparation,0.6115927768569316,0.6115927768569316,3,3.0,D000067268,False
D000067290:Behavior Rating Scale,0.5244388704309415,0.5244388704309415,2,2.0,D000067290,False
D000067292:Alcohol Drinking in College,0.15960188228264116,0.19937630714072305,4,3.0,D000067292,False
"D000067329:Obesity, Metabolically Benign",0.5323881011954407,0.3903999959176235,4,4.0,D000067329,True
D000067348:Whole Grains,0.2822031094938803,0.2822031094938803,1,1.0,D000067348,False
D000067369:Transanal Endoscopic Microsurgery,0.04287017864036781,0.04287017864036781,1,1.0,D000067369,False
D000067401:Blood Alcohol Content,0.6030779489699224,0.6030779489699224,1,1.0,D000067401,False
D000067404:Social Communication Disorder,0.7662139084157433,0.7662139084157433,1,1.0,D000067404,False
D000067453:War Exposure,0.554835823862695,0.554835823862695,1,1.0,D000067453,False
D000067470:Cellular Reprogramming Techniques,0.6422981083073035,0.6422981083073035,18,17.0,D000067470,False
D000067489:Metacognition,0.42879670348770094,0.42879670348770094,2,2.0,D000067489,False
D000067490:Prescription Drug Overuse,0.11798813823266294,0.11798813823266294,1,1.0,D000067490,False
D000067492:RNAi Therapeutics,0.6498459295583314,0.6421672401102622,118,115.0,D000067492,False
D000067493:Dynamic Light Scattering,0.35148580983063094,0.35148580983063094,19,19.0,D000067493,False
D000067528:Ataxins,0.7611127277160076,0.8703455474059403,20,6.0,D000067528,False
D000067531:Alarmins,0.7180870929190319,0.7180870929190319,19,15.0,D000067531,False
D000067552:Mutation Accumulation,0.945808014615354,0.945808014615354,3,3.0,D000067552,False
D000067556:Internal Ribosome Entry Sites,0.5339286305954077,0.5339286305954077,33,32.0,D000067556,False
D000067558:Biological Mimicry,0.9308251149405117,0.9308251149405117,4,4.0,D000067558,False
D000067562:Late Onset Disorders,0.39910740962055574,0.39910740962055574,6,6.0,D000067562,True
D000067565:Farmers,0.3166230409860508,0.3399480606782659,7,6.0,D000067565,False
D000067572:Miners,0.6098373148669692,0.6098373148669692,3,3.0,D000067572,False
D000067576:Child Health,0.2849474835161194,0.2849474835161194,3,3.0,D000067576,False
D000067596:Interleukin-33,0.6211214025802183,0.6030779489699224,290,72.0,D000067596,False
D000067616:S100A12 Protein,0.5240513893038542,0.6574003512143402,45,10.0,D000067616,False
D000067617:Telopodes,0.5323881011954407,0.5323881011954407,1,1.0,D000067617,False
D000067656:Optimism,0.050959814759486105,0.050959814759486105,1,1.0,D000067656,False
D000067657:Pessimism,0.4828764565282342,0.4828764565282342,2,2.0,D000067657,False
D000067696:Ataxin-1,0.6265696961664623,0.6265696961664623,19,8.0,D000067696,False
D000067698:Ataxin-2,0.5220009095023159,0.6249403424151723,28,15.0,D000067698,False
D000067699:Ataxin-3,0.5902140672782875,0.4814340364300004,36,15.0,D000067699,False
D000067716:Point-of-Care Testing,0.47230269305773104,0.47230269305773104,2,2.0,D000067716,False
D000067719:Ataxin-7,0.4960599043919928,0.554835823862695,12,5.0,D000067719,False
D000067736:Ataxin-10,0.48734303038335375,0.6749138202871929,6,2.0,D000067736,False
D000067757:Glucagon-Like Peptide-1 Receptor,0.596646008124105,0.8002853821613495,78,18.0,D000067757,False
D000067758:Glucagon-Like Peptide-2 Receptor,0.5350405441971249,0.5350405441971249,2,2.0,D000067758,False
D000067759:Receptor for Advanced Glycation End Products,0.5532200951930082,0.542077406549785,232,50.0,D000067759,False
D000067776:RNA Recognition Motif Proteins,0.7202166676313686,0.6098373148669692,39,25.0,D000067776,False
D000067777:ELAV-Like Protein 2,0.46551015835076187,0.46551015835076187,3,1.0,D000067777,False
D000067779:ELAV-Like Protein 4,0.24187705407827906,0.4999404265459311,6,5.0,D000067779,False
D000067780:ELAV-Like Protein 1,0.6135687229642841,0.6415697383252197,160,107.0,D000067780,False
D000067816:Whey Proteins,0.4202012051821471,0.4202012051821471,2,2.0,D000067816,False
D000067856:Poly(ADP-ribose) Polymerase Inhibitors,0.7816076744955343,0.7269009560800717,159,69.0,D000067856,False
D000067877:Autism Spectrum Disorder,0.5339286305954077,0.554835823862695,206,163.0,D000067877,False
D000067878:CELF Proteins,0.6772014178921139,0.6111134542306415,11,4.0,D000067878,False
D000067879:CELF1 Protein,0.5694249870601654,0.6935490987538954,25,10.0,D000067879,False
D000067896:Industrial Development,0.45232162285473626,0.45232162285473626,1,1.0,D000067896,False
