gene_ncbi,pubmed_id,mentioned,mentioned_citations,hit
2048,17452456,False,False,True
55297,17452456,False,False,True
6146,17452456,False,False,True
79875,17452456,False,False,True
79877,17452456,False,False,True
148170,17452456,False,False,True
2060,17452456,False,False,True
10252,17452456,False,False,True
389136,17452456,False,False,True
18,17452456,False,False,True
19,17452456,False,False,True
2070,17452456,False,False,True
79896,17452456,False,False,True
26,17452456,False,False,True
4124,17452456,False,False,True
2078,17452456,False,True,True
51232,17452456,False,False,True
94241,17452456,False,False,True
34,17452456,False,False,True
4131,17452456,False,False,True
10276,17452456,False,False,True
4133,17452456,False,False,True
2042,17452456,False,False,True
51246,17452456,False,False,True
6197,17452456,False,False,True
79930,17452456,False,False,True
59,17452456,False,False,True
10299,17452456,False,False,True
2109,17452456,False,False,True
151613,17452456,False,False,True
135228,17452456,False,False,True
4162,17452456,False,False,True
124995,17452456,False,False,True
55364,17452456,False,False,True
55365,17452456,False,False,True
122953,17452456,False,False,True
10314,17452456,False,False,True
79949,17452456,False,False,True
10318,17452456,False,False,True
51279,17452456,False,False,True
51280,17452456,False,False,True
151636,17452456,False,False,True
79961,17452456,False,False,True
90,17452456,False,False,True
6236,17452456,False,False,True
84061,17452456,False,False,True
6238,17452456,False,False,True
53343,17452456,False,False,True
92255,17452456,False,False,True
93,17452456,False,False,True
4089,17452456,False,False,True
2149,17452456,False,False,True
2150,17452456,False,False,True
2151,17452456,False,False,True
2152,17452456,False,False,True
53354,17452456,False,False,True
57451,17452456,False,False,True
6252,17452456,False,False,True
51309,17452456,False,False,True
79982,17452456,False,False,True
57456,17452456,False,False,True
112752,17452456,False,False,True
4208,17452456,False,False,True
51315,17452456,False,False,True
4216,17452456,False,False,True
51321,17452456,False,False,True
57465,17452456,False,False,True
2173,17452456,False,False,True
6273,17452456,False,False,True
10371,17452456,False,False,True
6275,17452456,False,False,True
133,17452456,False,False,True
8323,17452456,False,False,True
8325,17452456,False,False,True
57480,17452456,False,False,True
4233,17452456,False,False,True
2188,17452456,False,False,True
200845,17452456,False,False,True
8334,17452456,False,False,True
2191,17452456,False,False,True
2195,17452456,False,False,True
57496,17452456,False,False,True
2200,17452456,False,False,True
2201,17452456,False,False,True
154,17452456,False,False,True
6297,17452456,False,False,True
10396,17452456,False,False,True
8349,17452456,False,False,True
6302,17452456,False,False,True
55450,17452456,False,False,True
4256,17452456,False,False,True
6304,17452456,False,False,True
51361,17452456,False,False,True
192668,17452456,False,False,True
8357,17452456,False,False,True
10410,17452456,False,False,True
57514,17452456,False,False,True
8365,17452456,False,False,True
84141,17452456,False,False,True
157869,17452456,False,False,True
4277,17452456,False,False,True
182,17452456,False,False,True
90293,17452456,False,False,True
6330,17452456,False,False,True
80059,17452456,False,False,True
84159,17452456,False,False,True
6337,17452456,False,False,True
114884,17452456,False,False,True
260293,17452456,False,False,True
2254,17452456,False,False,True
10447,17452456,False,False,True
55504,17452456,False,False,True
57552,17452456,False,False,True
4306,17452456,False,False,True
10451,17452456,False,False,True
2260,17452456,False,False,True
57556,17452456,False,False,True
8406,17452456,False,False,True
2263,17452456,False,False,True
57560,17452456,False,False,True
4313,17452456,False,False,True
84186,17452456,False,False,True
4316,17452456,False,False,True
6364,17452456,False,False,True
51422,17452456,False,False,True
55521,17452456,False,False,True
2273,17452456,False,False,True
57574,17452456,False,False,True
4329,17452456,False,False,True
8425,17452456,False,False,True
6382,17452456,False,False,True
51439,17452456,False,False,True
114928,17452456,False,False,True
6385,17452456,False,False,True
57587,17452456,False,False,True
114932,17452456,False,False,True
6392,17452456,False,False,True
4345,17452456,False,False,True
51454,17452456,False,False,True
80131,17452456,False,False,True
10507,17452456,False,False,True
8460,17452456,False,False,True
2317,17452456,False,False,True
6414,17452456,False,False,True
10509,17452456,False,False,True
22797,17452456,False,False,True
2321,17452456,False,False,True
80146,17452456,False,False,True
80139,17452456,False,False,True
133396,17452456,False,False,True
80149,17452456,False,False,True
346389,17452456,False,False,True
28951,17452456,False,False,True
6424,17452456,False,False,True
84248,17452456,False,False,True
